Trail Name	Route Type	Trail Difficulty	Rating	Review Count	Length (Meters)	Elevation Gain (Meters)	Latitude	Longitude	City	State/Region	State/Region Name	Zip Code	Country	Country Name	Parking Area Name
St. Michael's College Natural Area Loop	Loop	Easy	3.5	12	6920.162109375	41.757598876953125	44.49202	-73.15954	Colchester	Vermont	Vermont		United States of America	United States of America	St. Michael's College Natural Area
Awasiwi Trail	Out & Back	Easy	1.0	1	4184.2841796875	28.95599937438965	44.45567	-73.1771	South Burlington	Vermont	Vermont		United States of America	United States of America	
Mud Pond Conservation Area Trail	Out & Back	Easy	4.0	129	4345.2177734375	31.699199676513672	44.41159	-73.07329	Williston	Vermont	Vermont		United States of America	United States of America	Mud Pond Conservation Area
Cross Vermont Trail	Loop	Easy	4.0	13	2574.944091796875	11.887200355529785	44.43829	-73.06766	Williston	Vermont	Vermont		United States of America	United States of America	
Centennial Woods Loop	Loop	Easy	4.5	101	2896.81201171875	74.98079681396484	44.47517	-73.18851	Burlington	Vermont	Vermont		United States of America	United States of America	
Riverwalk to Salmon Hole	Out & Back	Easy	4.0	59	2574.944091796875	46.93920135498047	44.4869	-73.18815	Burlington	Vermont	Vermont		United States of America	United States of America	
Meach Cove	Out & Back	Easy	3.5	6	7885.76611328125	88.6968002319336	44.38402	-73.24407	Shelburne	Vermont	Vermont		United States of America	United States of America	Meach Cove Farms
Ethan Allen Homestead - Peninsula Trail	Loop	Easy	4.0	152	4184.2841796875	6.705599784851074	44.50409	-73.23079	Burlington	Vermont	Vermont		United States of America	United States of America	McKenzie Park
Derway Island Nature Trail	Out & Back	Easy	4.0	26	3057.74609375	3.962399959564209	44.52654	-73.271	Burlington	Vermont	Vermont		United States of America	United States of America	Derway Island Nature Preserve
Shelburne Pond	Loop	Easy	3.5	77	2092.14208984375	36.88079833984375	44.37711	-73.16228	Shelburne	Vermont	Vermont		United States of America	United States of America	Shelburne Bay Park
Indian Brook Reservoir [PRIVATE PROPERTY]	Loop	Easy	4.5	201	3218.679931640625	49.98720169067383	44.53009	-73.09724	Essex Junction	Vermont	Vermont		United States of America	United States of America	
Overlook via Sucker Brook Hollow Trail	Out & Back	Moderate	4.5	335	3862.416015625	161.8488006591797	44.41131	-73.12426	Williston	Vermont	Vermont		United States of America	United States of America	Five Tree Hill Country Park
Muhley and Island View Loop Trail	Loop	Easy	4.5	107	3701.48193359375	97.8407974243164	44.58987	-73.18991	Colchester	Vermont	Vermont		United States of America	United States of America	Niquette Bay State Park
Colchester Pond	Loop	Easy	4.5	465	4828.02001953125	93.87840270996094	44.55031	-73.12513	Colchester	Vermont	Vermont		United States of America	United States of America	
Lake Champlain via Shelburne Farms [PRIVATE PROPERTY]	Out & Back	Easy	4.5	17	5310.82177734375	47.853599548339844	44.39608	-73.24756	Shelburne	Vermont	Vermont		United States of America	United States of America	
Island Line Rail Trail	Out & Back	Easy	4.5	203	23335.4296875	63.70320129394531	44.45364	-73.22707	Burlington	Vermont	Vermont		United States of America	United States of America	
Red Rocks Park Loop Trail	Loop	Easy	4.5	635	4345.2177734375	68.88480377197266	44.44507	-73.21992	Burlington	Vermont	Vermont		United States of America	United States of America	Red Rocks Park
Allen Trail	Out & Back	Easy	4.5	89	1770.2740478515625	18.897600173950195	44.5897	-73.18976	Colchester	Vermont	Vermont		United States of America	United States of America	Niquette Bay State Park
