SEGB Timestamp	Timestamp	SEGB State	Bundle ID	Output	Media Type	Title	Artist	Filename	Offset
2022-01-10 17:26:47.430892+00:00		Deleted						663528407434565	88
2022-02-06 04:43:22.608547+00:00	2022-02-06 04:43:22.600826+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	#MidnightMadness: #URLBanned Recap	Bill Collector, COLA G🔫N TITLES🏆 EXPENSIVE PAIN, Tony Bro +723 others	663528407434565	160
2022-02-06 04:43:22.615876+00:00	2022-02-06 04:43:22.611337+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	#MidnightMadness: #URLBanned Recap	Bill Collector, COLA G🔫N TITLES🏆 EXPENSIVE PAIN, Tony Bro +723 others	663528407434565	392
2022-02-06 04:43:22.620869+00:00	2022-02-06 04:43:22.617032+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	#MidnightMadness: #URLBanned Recap	Bill Collector, COLA G🔫N TITLES🏆 EXPENSIVE PAIN, Tony Bro +723 others	663528407434565	624
2022-02-06 04:43:22.945378+00:00	2022-02-06 04:43:22.942279+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	#MidnightMadness: #URLBanned Recap	Bill Collector, COLA G🔫N TITLES🏆 EXPENSIVE PAIN, Tony Bro +723 others	663528407434565	856
2022-02-06 04:43:25.999463+00:00	2022-02-06 04:43:25.996785+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	#MidnightMadness: #URLBanned Recap	Bill Collector, Tony Bro, COLA G🔫N TITLES🏆 EXPENSIVE PAIN +715 others	663528407434565	1088
2022-02-06 04:43:54.150270+00:00	2022-02-06 04:43:54.147181+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	#MidnightMadness: #URLBanned Recap	Bill Collector, Tony Bro, COLA G🔫N TITLES🏆 EXPENSIVE PAIN +701 others	663528407434565	1320
2022-02-06 04:43:54.699326+00:00	2022-02-06 04:43:54.695924+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	#MidnightMadness: #URLBanned Recap	Bill Collector, Tony Bro, COLA G🔫N TITLES🏆 EXPENSIVE PAIN +687 others	663528407434565	1552
2022-02-06 04:43:58.256060+00:00	2022-02-06 04:43:58.253465+00:00	Written	com.atebits.Tweetie2	Speaker				663528407434565	1784
2022-02-06 04:43:58.615828+00:00	2022-02-06 04:43:58.607256+00:00	Written		Speaker				663528407434565	1872
2022-02-06 04:43:58.625428+00:00	2022-02-06 04:43:58.618413+00:00	Written		Speaker				663528407434565	1944
2022-02-06 04:43:58.743938+00:00	2022-02-06 04:43:58.738805+00:00	Written	com.atebits.Tweetie2	Speaker				663528407434565	2016
2022-02-06 04:43:58.750049+00:00	2022-02-06 04:43:58.746248+00:00	Written	com.atebits.Tweetie2	Speaker				663528407434565	2104
2022-02-06 04:43:58.755760+00:00	2022-02-06 04:43:58.751349+00:00	Written	com.atebits.Tweetie2	Speaker				663528407434565	2192
2022-02-06 04:43:59.551994+00:00	2022-02-06 04:43:59.547846+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +82 others	663528407434565	2280
2022-02-06 04:44:05.914822+00:00	2022-02-06 04:44:05.909880+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +81 others	663528407434565	2560
2022-02-06 04:44:13.054651+00:00	2022-02-06 04:44:13.050028+00:00	Written	com.atebits.Tweetie2	Speaker	MRMediaRemoteMediaTypeMusic	24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +80 others	663528407434565	2840
