Timestamp	Places_from_VLOC	Labels_in_tile	Image	Tileset	Key A	Key B	Key C	Key D
2022-01-21 22:12:17		المنطقة الشرقية, طنجة تطوان, كلميم السمارة, مكناس تافيلالت, وادي الذهب الكويرة, ولاية  كيدي ماغة‎, ولاية أدرار, ولاية أدرار, ولاية إنشيري, ولاية البراكنة‎, ولاية الحوض الشرقي, ولاية الحوض الغربي, ولاية النعامة, ولاية بشار, ولاية ترارزا, ولاية تلمسان, ولاية تندورف, ولاية تيرس زمور, ولاية داخلت نواذيبو‎, ولاية كوركول, ولاية لعصابة, Alaska, Alberta, Arizona, Belize, Bong, British Columbia, Brong-Ahafo, California, Central River Division, Eastern Province, Gibraltar, Grand Cape Mount, Grande Gedeh, Guyana, Idaho, Ireland, Lofa, Lower River Division, Maine, Manitoba, Maryland, Michigan, Minnesota, Montana, New Brunswick, New Hampshire, New Mexico, New York, Nimba, North Bank Division, North Dakota, Northern, Northern Ireland, Northern Province, Ohio, Ontario, Pennsylvania, Quebec, Saskatchewan, Southern Province, Texas, Upper East, Upper River Division, Upper West, Vermont, Washington, Western, Western Division, Yukon, Baja California, Ceuta, Chihuahua, Coahuila, Colombia, Costa Rica, Ecuador, El Aaiún-Bojador-Saguia el Hamra, El Salvador, España, Guatemala, Honduras, Melilla, México, Nicaragua, Nuevo León, República Dominicana, Sonora, Tamaulipas, Venezuela, Bafing, Banwa, Bas-Sassandra, Boulgou, Comoé, Denguélé, District de Bamako, Dix-Huit montagnes, Département de Biankouma, Département de Danané, Fatick, France, Gao, Gueckedou, Guyane française, Haïti, Houet, Ioba, Kaffrine, Kaolack, Kayes, Kidal, Kolda, Kossi, Koulikoro, Koulpélogo, Kédougou, Kénédougou, Loroum, Léraba, Matam, Mopti, Moyen-Cavally, Moyen-Comoé, Nahouri, Noumbiel, Oudalan, Poni, Préfecture de Beyla, Préfecture de Boké, Préfecture de Dabola, Préfecture de Dinguiraye, Préfecture de Faranah, Préfecture de Forécariah, Préfecture de Gaoual, Préfecture de Kankan, Préfecture de Kindia, Préfecture de Koubia, Préfecture de Koundara, Préfecture de Lola, Préfecture de Macenta, Préfecture de Mali, Préfecture de Mamou, Préfecture de Mandiana, Préfecture de Nzérékoré, Préfecture de Siguiri, Préfecture de Tougué, Préfecture de Yomou, Saint-Louis, Savanes, Savanes, Sikasso, Sissili, Soum, Sourou, Souss-Massa-Drâa, Sud-Comoé, Sédhiou, Ségou, Tambacounda, Tombouctou, Yatenga, Zanzan, Ziguinchor, Suriname, Brasil, Bafatá, Cacheu, Gabu, Oio, Portugal, Tombali		0X801401	0X14	0X10000		0X2005000
2022-01-21 22:12:17				0X804401	0X14	0X10000		0X2011000
2022-01-21 22:12:17		Atlantic Ocean, North America, North Atlantic Ocean, North Pacific Ocean, Pacific Ocean, Washington, Washington		0X800101	0X14	0X10000		0X2000400
2022-01-15 22:45:00				0X804901	0X14	-0X41320000	0X17270004	0X2012400
2022-01-21 20:15:04				0X804901	0X14	-0X40F20000	0X17270004	0X2012400
2022-01-15 14:08:47		1, 10, 101, 104, 105, 11, 112, 114, 115, 116, 12, 128, 13, 132, 133, 137, 138, 140, 146, 147, 15, 155, 16, 17, 175, 180, 184, 19, 190, 195, 199, 2, 20, 202, 208, 209, 213, 219, 22, 220, 24, 25, 26, 28, 281, 287, 29, 290, 291, 293, 295, 2A, 3, 30, 304, 309, 31, 32, 33, 34, 349, 35, 37, 372, 380, 384, 390, 391, 393, 395, 4, 40, 400, 401, 403, 407, 410, 416, 417, 418, 435, 44, 440, 476, 481, 49, 490, 495, 5, 50, 503, 520, 530, 531, 540, 55, 57, 571, 573, 590, 5A, 5S, 6, 610, 63, 640, 66, 684, 690, 691, 695, 7, 70, 72, 73, 730, 740, 770, 78, 781, 787, 79, 790, 8, 80, 81, 84, 840, 85, 86, 87, 88, 89, 890, 9, 90, 91, 93, 930, 95, 955, 973, 99, 990, 9A, GSP, HRP, NYST, SBP, nyst, Connecticut, Maine, Massachusetts, New Brunswick, New Hampshire, New Jersey, New York, Ontario, Pennsylvania, Quebec, Rhode Island, St. Lawrence River, Vermont		0X801401	0X14	0X2450000	0XB0000	0X2005000
2022-01-15 14:08:47		{0}, Cape Cod, Cape Henrietta Maria, Mount Washington, The Adirondack Park, Albanel-Témiscamie-Otish Park, Algonquin Provincial Park, Polar Bear Provincial Park		0X804401	0X14	0X1040000	0X50000	0X2011000
2022-01-15 14:08:47		Albany, Augusta, Bangor, Binghamton, Boston, Bridgeport, Brunswick, Burlington, Concord, Connecticut, Gulf of Maine, Hartford, Kingston, Lake Ontario, Maine, Manchester, Massachusetts, Montpelier, Montréal, New Bedford, New Hampshire, New Haven, New York, Ottawa, Ottawa, Pennsylvania, Peterborough, Portland, Prince Edward County, Providence, Quebec City, Rhode Island, Rochester, Saguenay, Schenectady, Scranton, Sherbrooke, Springfield, Stamford, Syracuse, Trois-Rivières, Utica, Vermont, Waterbury, Worcester		0X800101	0X14	0X2450000	0XB0000	0X2000400
2022-01-15 14:11:23				0X801401	0X14	0X20000	0X20000	0X2005000
2022-01-15 14:11:23		Alaska, Northwest Territories, Nunavut, Yukon		0X801401	0X14	0X20000		0X2005000
2022-01-15 14:11:23		المنطقة الشرقية, طنجة تطوان, كلميم السمارة, مكناس تافيلالت, وادي الذهب الكويرة, ولاية  كيدي ماغة‎, ولاية أدرار, ولاية أدرار, ولاية إنشيري, ولاية البراكنة‎, ولاية الحوض الشرقي, ولاية الحوض الغربي, ولاية النعامة, ولاية بشار, ولاية ترارزا, ولاية تلمسان, ولاية تندورف, ولاية تيرس زمور, ولاية داخلت نواذيبو‎, ولاية كوركول, ولاية لعصابة, Alabama, Arkansas, Belize, Bong, Brong-Ahafo, Central River Division, Connecticut, Delaware, District of Columbia, Eastern Province, Florida, Georgia, Gibraltar, Grand Cape Mount, Grande Gedeh, Guyana, Illinois, Indiana, Ireland, Kentucky, Lofa, Louisiana, Lower River Division, Maine, Manitoba, Maryland, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, New Brunswick, New Hampshire, New Jersey, New York, Newfoundland and Labrador, Nimba, North Bank Division, North Carolina, Northern, Northern Ireland, Northern Province, Nova Scotia, Nunavut, Ohio, Ontario, Pennsylvania, Prince Edward Island, Quebec, Rhode Island, South Carolina, Southern Province, Tennessee, Upper East, Upper River Division, Upper West, Vermont, Virginia, West Virginia, Western, Western Division, Wisconsin, Ceuta, Colombia, Costa Rica, Ecuador, El Aaiún-Bojador-Saguia el Hamra, El Salvador, España, Guatemala, Honduras, Melilla, México, Nicaragua, República Dominicana, Venezuela, Bafing, Banwa, Bas-Sassandra, Boulgou, Comoé, Denguélé, District de Bamako, Dix-Huit montagnes, Département de Biankouma, Département de Danané, Fatick, France, Gao, Gueckedou, Guyane française, Haïti, Houet, Ioba, Kaffrine, Kaolack, Kayes, Kidal, Kolda, Kossi, Koulikoro, Koulpélogo, Kédougou, Kénédougou, Loroum, Léraba, Matam, Mopti, Moyen-Cavally, Moyen-Comoé, Nahouri, Noumbiel, Oudalan, Poni, Préfecture de Beyla, Préfecture de Boké, Préfecture de Dabola, Préfecture de Dinguiraye, Préfecture de Faranah, Préfecture de Forécariah, Préfecture de Gaoual, Préfecture de Kankan, Préfecture de Kindia, Préfecture de Koubia, Préfecture de Koundara, Préfecture de Lola, Préfecture de Macenta, Préfecture de Mali, Préfecture de Mamou, Préfecture de Mandiana, Préfecture de Nzérékoré, Préfecture de Siguiri, Préfecture de Tougué, Préfecture de Yomou, Saint-Louis, Savanes, Savanes, Sikasso, Sissili, Soum, Sourou, Souss-Massa-Drâa, Sud-Comoé, Sédhiou, Ségou, Tambacounda, Tombouctou, Yatenga, Zanzan, Ziguinchor, Suriname, Brasil, Bafatá, Cacheu, Gabu, Oio, Portugal, Tombali		0X801401	0X14	0X420000	0X10000	0X2005000
2022-01-15 14:11:23		Argentina, Bolivia, Chile, Colombia, Ecuador, Paraguay, Perú, Uruguay, Brasil		0X801401	0X14	0X420000	0X20000	0X2005000
