Start Time	End Time	Device Plugin Status	Is Adapter Wireless?	Time Added
2022-01-19 14:50:38+00:00	2022-01-19 15:10:54+00:00	Plugged in	No	2022-01-19 15:10:54+00:00
2022-01-19 15:10:54+00:00	2022-01-19 15:10:55+00:00	Plugged in	Not specified	2022-01-19 15:10:55+00:00
2022-01-19 15:10:55+00:00	2022-01-19 15:27:23+00:00	Unplugged	Not specified	2022-01-19 15:27:23+00:00
2022-01-19 15:27:23+00:00	2022-01-19 15:39:07+00:00	Plugged in	No	2022-01-19 15:39:07+00:00
2022-01-19 15:39:07+00:00	2022-01-19 15:39:08+00:00	Plugged in	Not specified	2022-01-19 15:39:08+00:00
2022-01-19 15:39:08+00:00	2022-01-19 23:15:58+00:00	Unplugged	Not specified	2022-01-19 23:15:58+00:00
2022-01-19 23:15:58+00:00	2022-01-20 04:29:13+00:00	Plugged in	No	2022-01-20 04:29:13+00:00
2022-01-20 04:29:13+00:00	2022-01-20 04:29:14+00:00	Plugged in	Not specified	2022-01-20 04:29:14+00:00
2022-01-20 04:29:14+00:00	2022-01-21 22:22:05+00:00	Unplugged	Not specified	2022-01-21 22:22:05+00:00
2022-01-21 22:22:05+00:00	2022-01-21 22:28:21+00:00	Plugged in	No	2022-01-21 22:28:21+00:00
2022-01-21 22:28:21+00:00	2022-01-21 22:28:22+00:00	Plugged in	Not specified	2022-01-21 22:28:22+00:00
2022-02-04 00:22:43+00:00	2022-02-06 21:04:46+00:00	Unplugged	Not specified	2022-02-06 21:04:46+00:00
2022-02-06 21:04:46+00:00	2022-02-06 21:17:58+00:00	Plugged in	No	2022-02-06 21:17:58+00:00
2022-02-06 21:17:58+00:00	2022-02-06 21:17:59+00:00	Plugged in	Not specified	2022-02-06 21:17:59+00:00
2022-02-06 21:17:59+00:00	2022-02-09 06:08:18+00:00	Unplugged	Not specified	2022-02-09 06:08:18+00:00
2022-02-09 06:08:18+00:00	2022-02-09 07:04:10+00:00	Plugged in	No	2022-02-09 07:04:10+00:00
2022-02-09 07:04:10+00:00	2022-02-09 07:04:11+00:00	Plugged in	Not specified	2022-02-09 07:04:12+00:00
2022-02-14 16:35:30+00:00	2022-02-14 16:48:12+00:00	Unplugged	Not specified	2022-02-14 16:48:12+00:00
2022-02-14 16:48:12+00:00	2022-02-14 16:48:40+00:00	Plugged in	No	2022-02-14 16:48:40+00:00
2022-02-14 16:48:40+00:00	2022-02-14 16:48:41+00:00	Plugged in	Not specified	2022-02-14 16:48:41+00:00
2022-02-14 16:48:41+00:00	2022-02-14 16:48:42+00:00	Unplugged	Not specified	2022-02-14 16:48:42+00:00
2022-02-14 16:48:42+00:00	2022-02-14 16:48:43+00:00	Plugged in	No	2022-02-14 16:48:43+00:00
2022-02-14 16:48:43+00:00	2022-02-14 16:56:59+00:00	Plugged in	No	2022-02-14 16:56:59+00:00
2022-02-14 16:56:59+00:00	2022-02-14 16:57:00+00:00	Plugged in	Not specified	2022-02-14 16:57:00+00:00
2022-02-14 16:57:00+00:00	2022-02-14 17:05:22+00:00	Unplugged	Not specified	2022-02-14 17:05:22+00:00
2022-02-14 17:05:22+00:00	2022-02-14 17:05:48+00:00	Plugged in	No	2022-02-14 17:05:48+00:00
2022-02-14 17:05:48+00:00	2022-02-14 17:05:49+00:00	Plugged in	Not specified	2022-02-14 17:05:49+00:00
2022-02-14 17:05:49+00:00	2022-02-14 17:05:56+00:00	Unplugged	Not specified	2022-02-14 17:05:56+00:00
2022-02-14 17:05:56+00:00	2022-02-14 17:06:12+00:00	Plugged in	No	2022-02-14 17:06:12+00:00
2022-02-14 17:58:47+00:00	2022-02-14 17:59:23+00:00	Plugged in	No	2022-02-14 17:59:23+00:00
2022-02-14 17:59:23+00:00	2022-02-14 17:59:23+00:00	Plugged in	No	2022-02-14 17:59:23+00:00
2022-02-14 17:59:23+00:00	2022-02-14 17:59:23+00:00	Plugged in	No	2022-02-14 17:59:23+00:00
2022-02-14 17:59:23+00:00	2022-02-14 17:59:24+00:00	Plugged in	Not specified	2022-02-14 17:59:24+00:00
2022-02-14 17:59:24+00:00	2022-02-14 17:59:26+00:00	Unplugged	Not specified	2022-02-14 17:59:26+00:00
2022-02-14 17:59:26+00:00	2022-02-14 17:59:26+00:00	Plugged in	No	2022-02-14 17:59:26+00:00
2022-02-14 18:03:23+00:00	2022-02-14 18:06:02+00:00	Unplugged	Not specified	2022-02-14 18:06:02+00:00
2022-02-14 18:06:02+00:00	2022-02-14 18:06:03+00:00	Plugged in	No	2022-02-14 18:06:03+00:00
2022-02-14 18:08:24+00:00	2022-02-14 18:09:49+00:00	Unplugged	Not specified	2022-02-14 18:09:49+00:00
2022-02-14 18:09:49+00:00	2022-02-14 18:09:50+00:00	Plugged in	No	2022-02-14 18:09:50+00:00
2022-02-14 18:16:33+00:00	2022-02-14 18:16:46+00:00	Unplugged	Not specified	2022-02-14 18:16:49+00:00
2022-02-14 18:16:46+00:00	2022-02-14 18:17:07+00:00	Plugged in	No	2022-02-14 18:17:07+00:00
2022-02-14 18:17:07+00:00	2022-02-14 18:17:07+00:00	Plugged in	No	2022-02-14 18:17:07+00:00
2022-02-14 18:17:07+00:00	2022-02-14 18:17:08+00:00	Plugged in	Not specified	2022-02-14 18:17:09+00:00
2022-02-14 18:17:08+00:00	2022-02-14 18:17:13+00:00	Unplugged	Not specified	2022-02-14 18:17:13+00:00
2022-02-14 18:17:13+00:00	2022-02-14 18:17:13+00:00	Plugged in	No	2022-02-14 18:17:13+00:00
2022-02-14 18:18:36+00:00	2022-02-14 18:19:20+00:00	Plugged in	No	2022-02-14 18:19:20+00:00
2022-02-14 18:19:20+00:00	2022-02-14 18:19:21+00:00	Plugged in	No	2022-02-14 18:19:21+00:00
2022-02-14 18:19:21+00:00	2022-02-14 18:19:22+00:00	Plugged in	Not specified	2022-02-14 18:19:22+00:00
2022-02-14 18:19:22+00:00	2022-02-14 18:19:25+00:00	Unplugged	Not specified	2022-02-14 18:19:25+00:00
2022-02-14 18:19:25+00:00	2022-02-14 18:19:26+00:00	Plugged in	No	2022-02-14 18:19:26+00:00
