Application Bundle ID	Number of folders	Number of files	Total size in bytes
com.apple.CloudDocs	0	0	0
com.apple.TextInput	1	0	0
com.apple.shoebox	2	0	0
iCloud.com.apple.mobilesafari	1	0	0
com.apple.iBooks.cloudData	1	0	0
iCloud.com.apple.iBooks.iTunesU	1	0	0
com.apple.SafariShared.History	1	0	0
iCloud.com.apple.passd	1	0	0
com.apple.mobilemail	1	0	0
iCloud.com.apple.DocumentsApp	1	0	0
iCloud.com.apple.shortcuts.runtime	1	0	0
iCloud.is.workflow.my.workflows	1	0	0
iCloud.com.apple.iBooks	1	0	0
iCloud.com.wearezeta.zclient.ios	1	0	0
iCloud.com.gma.water.sort.puzzle.cloud.save	1	0	0
