Timestamp (Local Time)	Description
2022-02-14 11:44:13	Reboot detected
2022-02-14 11:44:13	Reboot detected
2022-02-03 20:16:39	Reboot detected
2022-02-03 20:16:39	Reboot detected
2022-01-29 21:12:28	Reboot detected
2022-01-29 21:12:28	Reboot detected
2022-01-21 15:30:40	Reboot detected
2022-01-21 15:30:40	Reboot detected
2022-01-12 17:18:16	Reboot detected
2022-01-12 17:18:16	Reboot detected
2022-01-10 12:26:23	Reboot detected
2022-01-10 12:26:23	Reboot detected
2022-01-06 14:41:00	Reboot detected
