Start Time	End Time	Time Added	Device Screen Status
2022-01-18 16:19:48+00:00	2022-01-18 16:19:48+00:00	2022-01-18 16:19:49+00:00	Backlight on
2022-01-18 16:19:48+00:00	2022-01-18 21:35:28+00:00	2022-01-18 21:35:28+00:00	Backlight off
2022-01-18 21:35:28+00:00	2022-01-18 21:35:28+00:00	2022-01-18 21:35:30+00:00	Backlight on
2022-01-18 21:35:28+00:00	2022-01-18 21:52:56+00:00	2022-01-18 21:52:57+00:00	Backlight off
2022-01-18 21:52:56+00:00	2022-01-18 21:53:00+00:00	2022-01-18 21:53:03+00:00	Backlight on
2022-01-18 21:53:00+00:00	2022-01-19 04:05:28+00:00	2022-01-19 04:05:28+00:00	Backlight off
2022-01-19 04:05:28+00:00	2022-01-19 04:05:28+00:00	2022-01-19 04:05:29+00:00	Backlight on
2022-01-19 04:05:28+00:00	2022-01-19 14:50:32+00:00	2022-01-19 14:50:32+00:00	Backlight off
2022-01-19 14:50:32+00:00	2022-01-19 14:50:52+00:00	2022-01-19 14:50:55+00:00	Backlight on
2022-01-19 14:50:52+00:00	2022-01-19 14:56:24+00:00	2022-01-19 14:56:25+00:00	Backlight off
2022-01-19 14:56:24+00:00	2022-01-19 14:56:32+00:00	2022-01-19 14:56:35+00:00	Backlight on
2022-01-19 14:56:32+00:00	2022-01-19 14:58:28+00:00	2022-01-19 14:58:28+00:00	Backlight off
2022-01-19 14:58:28+00:00	2022-01-19 15:10:56+00:00	2022-01-19 15:10:57+00:00	Backlight on
2022-01-19 15:10:56+00:00	2022-01-19 15:27:16+00:00	2022-01-19 15:27:16+00:00	Backlight off
2022-01-19 15:27:16+00:00	2022-01-19 15:27:32+00:00	2022-01-19 15:27:32+00:00	Backlight on
2022-01-19 15:27:32+00:00	2022-01-19 15:27:40+00:00	2022-01-19 15:27:42+00:00	Backlight off
2022-01-19 15:27:40+00:00	2022-01-19 15:39:20+00:00	2022-01-19 15:39:21+00:00	Backlight on
2022-01-19 15:39:20+00:00	2022-01-19 18:21:00+00:00	2022-01-19 18:21:01+00:00	Backlight off
2022-01-19 18:21:00+00:00	2022-01-19 18:21:04+00:00	2022-01-19 18:21:07+00:00	Backlight on
2022-01-19 18:21:04+00:00	2022-01-19 18:21:12+00:00	2022-01-19 18:21:12+00:00	Backlight off
2022-01-19 18:21:12+00:00	2022-01-19 18:21:12+00:00	2022-01-19 18:21:15+00:00	Backlight on
2022-01-19 18:21:12+00:00	2022-01-19 18:42:08+00:00	2022-01-19 18:42:11+00:00	Backlight off
2022-01-19 18:42:08+00:00	2022-01-19 18:42:16+00:00	2022-01-19 18:42:18+00:00	Backlight on
2022-01-19 18:42:16+00:00	2022-01-19 18:42:52+00:00	2022-01-19 18:42:53+00:00	Backlight off
2022-01-19 18:42:52+00:00	2022-01-19 18:42:56+00:00	2022-01-19 18:42:59+00:00	Backlight on
2022-01-19 18:42:56+00:00	2022-01-19 19:58:08+00:00	2022-01-19 19:58:11+00:00	Backlight off
2022-01-19 19:58:08+00:00	2022-01-19 19:58:16+00:00	2022-01-19 19:58:17+00:00	Backlight on
2022-01-19 19:58:16+00:00	2022-01-19 20:07:16+00:00	2022-01-19 20:07:16+00:00	Backlight off
2022-01-19 20:07:16+00:00	2022-01-19 20:07:20+00:00	2022-01-19 20:07:23+00:00	Backlight on
2022-01-19 20:07:20+00:00	2022-01-19 20:10:20+00:00	2022-01-19 20:10:20+00:00	Backlight off
2022-01-19 20:10:20+00:00	2022-01-19 20:10:20+00:00	2022-01-19 20:10:22+00:00	Backlight on
2022-01-19 20:10:20+00:00	2022-01-19 20:10:24+00:00	2022-01-19 20:10:26+00:00	Backlight off
2022-01-19 20:10:24+00:00	2022-01-19 20:10:32+00:00	2022-01-19 20:10:33+00:00	Backlight on
2022-01-19 20:10:32+00:00	2022-01-19 21:37:48+00:00	2022-01-19 21:37:50+00:00	Backlight off
2022-01-19 21:37:48+00:00	2022-01-19 21:38:28+00:00	2022-01-19 21:38:30+00:00	Backlight on
2022-01-19 21:38:28+00:00	2022-01-19 23:15:48+00:00	2022-01-19 23:15:49+00:00	Backlight off
2022-01-19 23:15:48+00:00	2022-01-19 23:15:52+00:00	2022-01-19 23:15:54+00:00	Backlight on
2022-01-19 23:15:52+00:00	2022-01-19 23:15:56+00:00	2022-01-19 23:15:56+00:00	Backlight off
2022-01-19 23:15:56+00:00	2022-01-19 23:15:56+00:00	2022-01-19 23:15:56+00:00	Backlight on
2022-01-19 23:15:56+00:00	2022-01-19 23:15:56+00:00	2022-01-19 23:15:57+00:00	Backlight off
2022-01-19 23:15:56+00:00	2022-01-19 23:15:56+00:00	2022-01-19 23:15:59+00:00	Backlight on
2022-01-19 23:15:56+00:00	2022-01-20 04:29:12+00:00	2022-01-20 04:29:14+00:00	Backlight off
2022-01-20 04:29:12+00:00	2022-01-20 04:29:16+00:00	2022-01-20 04:29:16+00:00	Backlight on
2022-01-20 04:29:16+00:00	2022-01-21 19:56:24+00:00	2022-01-21 19:56:28+00:00	Backlight off
2022-01-21 19:56:24+00:00	2022-01-21 19:56:28+00:00	2022-01-21 19:56:29+00:00	Backlight on
2022-01-21 19:56:28+00:00	2022-01-21 19:56:32+00:00	2022-01-21 19:56:32+00:00	Backlight off
2022-01-21 19:56:32+00:00	2022-01-21 19:56:36+00:00	2022-01-21 19:56:38+00:00	Backlight on
2022-01-21 19:56:36+00:00	2022-01-21 19:56:44+00:00	2022-01-21 19:56:45+00:00	Backlight off
2022-01-21 19:56:44+00:00	2022-01-21 19:56:44+00:00	2022-01-21 19:56:46+00:00	Backlight on
2022-01-21 19:56:44+00:00	2022-01-21 19:57:28+00:00	2022-01-21 19:57:30+00:00	Backlight off
2022-01-21 19:57:28+00:00	2022-01-21 19:57:32+00:00	2022-01-21 19:57:34+00:00	Backlight on
2022-01-21 19:57:32+00:00	2022-01-21 19:57:44+00:00	2022-01-21 19:57:46+00:00	Backlight off
2022-01-21 19:57:44+00:00	2022-01-21 19:57:56+00:00	2022-01-21 19:57:57+00:00	Backlight on
2022-01-21 19:57:56+00:00	2022-01-21 20:13:56+00:00	2022-01-21 20:13:57+00:00	Backlight off
2022-01-21 20:13:56+00:00	2022-01-21 20:14:04+00:00	2022-01-21 20:14:07+00:00	Backlight on
2022-01-21 20:14:04+00:00	2022-01-21 20:14:40+00:00	2022-01-21 20:14:42+00:00	Backlight off
2022-01-21 20:14:40+00:00	2022-01-21 20:14:52+00:00	2022-01-21 20:14:52+00:00	Backlight on
2022-01-21 20:14:52+00:00	2022-01-21 20:15:00+00:00	2022-01-21 20:15:01+00:00	Backlight off
2022-01-21 20:15:00+00:00	2022-01-21 20:48:24+00:00	2022-01-21 20:48:26+00:00	Backlight on
2022-01-21 20:48:24+00:00	2022-01-21 21:00:32+00:00	2022-01-21 21:00:33+00:00	Backlight off
2022-01-21 21:00:32+00:00	2022-01-21 21:00:32+00:00	2022-01-21 21:00:34+00:00	Backlight on
2022-01-21 21:00:32+00:00	2022-01-21 21:00:32+00:00	2022-01-21 21:00:34+00:00	Backlight off
2022-01-21 21:00:32+00:00	2022-01-21 21:00:36+00:00	2022-01-21 21:00:36+00:00	Backlight on
2022-01-21 21:00:36+00:00	2022-01-21 21:00:36+00:00	2022-01-21 21:00:36+00:00	Backlight off
