Start Time	End Time	Battery Percentage	Is Fully Charged?	Time Added
2022-01-17 17:20:44+00:00	2022-01-17 18:42:40+00:00	33	No	2022-01-17 18:42:43+00:00
2022-01-17 18:42:40+00:00	2022-01-17 19:54:08+00:00	32	No	2022-01-17 19:54:11+00:00
2022-01-17 19:54:08+00:00	2022-01-17 21:48:12+00:00	31	No	2022-01-17 21:48:15+00:00
2022-01-17 21:48:12+00:00	2022-01-17 23:22:32+00:00	30	No	2022-01-17 23:22:34+00:00
2022-01-17 23:22:32+00:00	2022-01-18 00:54:32+00:00	29	No	2022-01-18 00:54:35+00:00
2022-01-18 00:54:32+00:00	2022-01-18 02:16:52+00:00	28	No	2022-01-18 02:16:54+00:00
2022-01-18 02:16:52+00:00	2022-01-18 03:06:48+00:00	27	No	2022-01-18 03:06:48+00:00
2022-01-18 03:06:48+00:00	2022-01-18 05:50:16+00:00	26	No	2022-01-18 05:50:19+00:00
2022-01-18 05:50:16+00:00	2022-01-18 06:58:28+00:00	25	No	2022-01-18 06:58:29+00:00
2022-01-18 06:58:28+00:00	2022-01-18 07:46:40+00:00	24	No	2022-01-18 07:46:40+00:00
2022-01-18 07:46:40+00:00	2022-01-18 09:54:20+00:00	23	No	2022-01-18 09:54:21+00:00
2022-01-18 09:54:20+00:00	2022-01-18 11:42:32+00:00	22	No	2022-01-18 11:42:35+00:00
2022-01-18 11:42:32+00:00	2022-01-18 13:30:24+00:00	21	No	2022-01-18 13:30:26+00:00
2022-01-18 13:30:24+00:00	2022-01-18 14:56:40+00:00	20	No	2022-01-18 14:56:43+00:00
2022-01-18 14:56:40+00:00	2022-01-18 16:48:00+00:00	19	No	2022-01-18 16:48:01+00:00
2022-01-18 16:48:00+00:00	2022-01-18 19:53:56+00:00	18	No	2022-01-18 19:53:59+00:00
2022-01-18 19:53:56+00:00	2022-01-18 21:12:08+00:00	17	No	2022-01-18 21:12:11+00:00
2022-01-18 21:12:08+00:00	2022-01-18 22:10:16+00:00	16	No	2022-01-18 22:10:16+00:00
2022-01-18 22:10:16+00:00	2022-01-18 23:25:12+00:00	15	No	2022-01-18 23:25:12+00:00
2022-01-18 23:25:12+00:00	2022-01-19 00:47:52+00:00	14	No	2022-01-19 00:47:53+00:00
2022-01-19 00:47:52+00:00	2022-01-19 02:30:16+00:00	13	No	2022-01-19 02:30:18+00:00
2022-01-19 02:30:16+00:00	2022-01-19 05:03:16+00:00	12	No	2022-01-19 05:03:16+00:00
2022-01-19 05:03:16+00:00	2022-01-19 05:59:40+00:00	11	No	2022-01-19 05:59:42+00:00
2022-01-19 05:59:40+00:00	2022-01-19 07:23:04+00:00	10	No	2022-01-19 07:23:05+00:00
2022-01-19 07:23:04+00:00	2022-01-19 07:50:52+00:00	9	No	2022-01-19 07:50:53+00:00
2022-01-19 07:50:52+00:00	2022-01-19 10:18:12+00:00	8	No	2022-01-19 10:18:12+00:00
2022-01-19 10:18:12+00:00	2022-01-19 13:07:52+00:00	7	No	2022-01-19 13:07:54+00:00
2022-01-19 13:07:52+00:00	2022-01-19 14:50:56+00:00	6	No	2022-01-19 14:50:58+00:00
2022-01-19 14:50:56+00:00	2022-01-19 14:52:04+00:00	7	No	2022-01-19 14:52:04+00:00
2022-01-19 14:52:04+00:00	2022-01-19 14:52:40+00:00	8	No	2022-01-19 14:52:42+00:00
2022-01-19 14:52:40+00:00	2022-01-19 14:53:44+00:00	9	No	2022-01-19 14:53:44+00:00
2022-01-19 14:53:44+00:00	2022-01-19 14:54:24+00:00	11	No	2022-01-19 14:54:24+00:00
2022-01-19 14:54:24+00:00	2022-01-19 14:55:24+00:00	12	No	2022-01-19 14:55:24+00:00
2022-01-19 14:55:24+00:00	2022-01-19 14:56:00+00:00	13	No	2022-01-19 14:56:03+00:00
2022-01-19 14:56:00+00:00	2022-01-19 14:58:24+00:00	14	No	2022-01-19 14:58:26+00:00
2022-01-19 14:58:24+00:00	2022-01-19 14:58:44+00:00	15	No	2022-01-19 14:58:46+00:00
2022-01-19 14:58:44+00:00	2022-01-19 15:00:04+00:00	16	No	2022-01-19 15:00:06+00:00
2022-01-19 15:00:04+00:00	2022-01-19 15:01:04+00:00	17	No	2022-01-19 15:01:06+00:00
2022-01-19 15:01:04+00:00	2022-01-19 15:02:24+00:00	18	No	2022-01-19 15:02:26+00:00
2022-01-19 15:02:24+00:00	2022-01-19 15:03:24+00:00	19	No	2022-01-19 15:03:26+00:00
2022-01-19 15:03:24+00:00	2022-01-19 15:04:44+00:00	20	No	2022-01-19 15:04:46+00:00
2022-01-19 15:04:44+00:00	2022-01-19 15:06:04+00:00	21	No	2022-01-19 15:06:06+00:00
2022-01-19 15:06:04+00:00	2022-01-19 15:07:04+00:00	22	No	2022-01-19 15:07:06+00:00
2022-01-19 15:07:04+00:00	2022-01-19 15:08:24+00:00	23	No	2022-01-19 15:08:26+00:00
2022-01-19 15:08:24+00:00	2022-01-19 15:09:44+00:00	24	No	2022-01-19 15:09:46+00:00
2022-01-19 15:09:44+00:00	2022-01-19 15:10:44+00:00	25	No	2022-01-19 15:10:46+00:00
2022-01-19 15:10:44+00:00	2022-01-19 15:28:24+00:00	26	No	2022-01-19 15:28:24+00:00
2022-01-19 15:28:24+00:00	2022-01-19 15:29:24+00:00	27	No	2022-01-19 15:29:24+00:00
2022-01-19 15:29:24+00:00	2022-01-19 15:30:44+00:00	28	No	2022-01-19 15:30:44+00:00
2022-01-19 15:30:44+00:00	2022-01-19 15:31:44+00:00	29	No	2022-01-19 15:31:44+00:00
2022-01-19 15:31:44+00:00	2022-01-19 15:32:44+00:00	30	No	2022-01-19 15:32:44+00:00
2022-01-19 15:32:44+00:00	2022-01-19 15:33:44+00:00	31	No	2022-01-19 15:33:44+00:00
2022-01-19 15:33:44+00:00	2022-01-19 15:34:44+00:00	32	No	2022-01-19 15:34:44+00:00
2022-01-19 15:34:44+00:00	2022-01-19 15:35:44+00:00	33	No	2022-01-19 15:35:44+00:00
2022-01-19 15:35:44+00:00	2022-01-19 15:36:24+00:00	34	No	2022-01-19 15:36:24+00:00
2022-01-19 15:36:24+00:00	2022-01-19 15:37:24+00:00	35	No	2022-01-19 15:37:24+00:00
2022-01-19 15:37:24+00:00	2022-01-19 15:38:04+00:00	36	No	2022-01-19 15:38:04+00:00
2022-01-19 15:38:04+00:00	2022-01-19 15:39:04+00:00	37	No	2022-01-19 15:39:04+00:00
2022-01-19 15:39:04+00:00	2022-01-19 18:23:00+00:00	38	No	2022-01-19 18:23:02+00:00
2022-01-19 18:23:00+00:00	2022-01-19 19:16:52+00:00	37	No	2022-01-19 19:16:55+00:00
2022-01-19 19:16:52+00:00	2022-01-19 19:45:00+00:00	36	No	2022-01-19 19:45:03+00:00
2022-01-19 19:45:00+00:00	2022-01-19 20:44:04+00:00	35	No	2022-01-19 20:44:06+00:00
2022-01-19 20:44:04+00:00	2022-01-19 21:38:28+00:00	34	No	2022-01-19 21:38:28+00:00
2022-01-19 21:38:28+00:00	2022-01-19 23:17:28+00:00	33	No	2022-01-19 23:17:28+00:00
2022-01-19 23:17:28+00:00	2022-01-19 23:18:28+00:00	34	No	2022-01-19 23:18:28+00:00
2022-01-19 23:18:28+00:00	2022-01-19 23:20:44+00:00	35	No	2022-01-19 23:20:45+00:00
2022-01-19 23:20:44+00:00	2022-01-19 23:22:44+00:00	37	No	2022-01-19 23:22:46+00:00
2022-01-19 23:22:44+00:00	2022-01-19 23:23:24+00:00	38	No	2022-01-19 23:23:26+00:00
2022-01-19 23:23:24+00:00	2022-01-19 23:24:24+00:00	39	No	2022-01-19 23:24:26+00:00
2022-01-19 23:24:24+00:00	2022-01-19 23:25:24+00:00	40	No	2022-01-19 23:25:26+00:00
2022-01-19 23:25:24+00:00	2022-01-19 23:26:24+00:00	41	No	2022-01-19 23:26:26+00:00
2022-01-19 23:26:24+00:00	2022-01-19 23:27:24+00:00	42	No	2022-01-19 23:27:26+00:00
2022-01-19 23:27:24+00:00	2022-01-19 23:28:24+00:00	43	No	2022-01-19 23:28:26+00:00
2022-01-19 23:28:24+00:00	2022-01-19 23:29:24+00:00	44	No	2022-01-19 23:29:26+00:00
2022-01-19 23:29:24+00:00	2022-01-19 23:31:24+00:00	45	No	2022-01-19 23:31:26+00:00
2022-01-19 23:31:24+00:00	2022-01-19 23:32:24+00:00	46	No	2022-01-19 23:32:26+00:00
2022-01-19 23:32:24+00:00	2022-01-19 23:33:24+00:00	47	No	2022-01-19 23:33:26+00:00
2022-01-19 23:33:24+00:00	2022-01-19 23:34:04+00:00	48	No	2022-01-19 23:34:06+00:00
2022-01-19 23:34:04+00:00	2022-01-19 23:35:04+00:00	49	No	2022-01-19 23:35:06+00:00
2022-01-19 23:35:04+00:00	2022-01-19 23:36:04+00:00	50	No	2022-01-19 23:36:06+00:00
2022-01-19 23:36:04+00:00	2022-01-19 23:38:04+00:00	51	No	2022-01-19 23:38:06+00:00
2022-01-19 23:38:04+00:00	2022-01-19 23:39:04+00:00	52	No	2022-01-19 23:39:06+00:00
2022-01-19 23:39:04+00:00	2022-01-19 23:40:04+00:00	53	No	2022-01-19 23:40:06+00:00
2022-01-19 23:40:04+00:00	2022-01-19 23:40:44+00:00	54	No	2022-01-19 23:40:46+00:00
2022-01-19 23:40:44+00:00	2022-01-19 23:41:44+00:00	55	No	2022-01-19 23:41:46+00:00
2022-01-19 23:41:44+00:00	2022-01-19 23:43:04+00:00	56	No	2022-01-19 23:43:06+00:00
2022-01-19 23:43:04+00:00	2022-01-19 23:44:24+00:00	57	No	2022-01-19 23:44:26+00:00
2022-01-19 23:44:24+00:00	2022-01-19 23:45:04+00:00	58	No	2022-01-19 23:45:06+00:00
2022-01-19 23:45:04+00:00	2022-01-19 23:46:24+00:00	59	No	2022-01-19 23:46:26+00:00
2022-01-19 23:46:24+00:00	2022-01-19 23:47:44+00:00	60	No	2022-01-19 23:47:46+00:00
2022-01-19 23:47:44+00:00	2022-01-19 23:48:24+00:00	61	No	2022-01-19 23:48:26+00:00
2022-01-19 23:48:24+00:00	2022-01-19 23:49:44+00:00	62	No	2022-01-19 23:49:46+00:00
2022-01-19 23:49:44+00:00	2022-01-19 23:51:04+00:00	63	No	2022-01-19 23:51:06+00:00
2022-01-19 23:51:04+00:00	2022-01-19 23:51:44+00:00	64	No	2022-01-19 23:51:46+00:00
2022-01-19 23:51:44+00:00	2022-01-19 23:53:04+00:00	65	No	2022-01-19 23:53:06+00:00
2022-01-19 23:53:04+00:00	2022-01-19 23:54:24+00:00	66	No	2022-01-19 23:54:26+00:00
2022-01-19 23:54:24+00:00	2022-01-19 23:55:44+00:00	67	No	2022-01-19 23:55:46+00:00
2022-01-19 23:55:44+00:00	2022-01-19 23:56:24+00:00	68	No	2022-01-19 23:56:26+00:00
2022-01-19 23:56:24+00:00	2022-01-19 23:57:44+00:00	69	No	2022-01-19 23:57:46+00:00
2022-01-19 23:57:44+00:00	2022-01-19 23:59:04+00:00	70	No	2022-01-19 23:59:06+00:00
2022-01-19 23:59:04+00:00	2022-01-20 00:01:04+00:00	71	No	2022-01-20 00:01:06+00:00
2022-01-20 00:01:04+00:00	2022-01-20 00:02:24+00:00	72	No	2022-01-20 00:02:26+00:00
2022-01-20 00:02:24+00:00	2022-01-20 00:03:44+00:00	73	No	2022-01-20 00:03:46+00:00
2022-01-20 00:03:44+00:00	2022-01-20 00:05:04+00:00	74	No	2022-01-20 00:05:06+00:00
2022-01-20 00:05:04+00:00	2022-01-20 00:07:04+00:00	75	No	2022-01-20 00:07:06+00:00
2022-01-20 00:07:04+00:00	2022-01-20 00:08:24+00:00	76	No	2022-01-20 00:08:26+00:00
