Start Time	End Time	Playing State	Playing Duration	App Bundle ID	Artist	Album	Title	Genre	Media Duration	AirPlay Video	Output Device	Time Added
2022-02-06 04:43:22+00:00	2022-02-06 04:43:25+00:00	Play	00:00:03	com.atebits.Tweetie2	Bill Collector, COLA G🔫N TITLES🏆 EXPENSIVE PAIN, Tony Bro +723 others		#MidnightMadness: #URLBanned Recap			No	Speaker	2022-02-06 04:43:26+00:00
2022-02-06 04:43:25+00:00	2022-02-06 04:43:54+00:00	Play	00:00:29	com.atebits.Tweetie2	Bill Collector, Tony Bro, COLA G🔫N TITLES🏆 EXPENSIVE PAIN +715 others		#MidnightMadness: #URLBanned Recap			No	Speaker	2022-02-06 04:43:54+00:00
2022-02-06 04:43:54+00:00	2022-02-06 04:43:54+00:00	Play	00:00:00	com.atebits.Tweetie2	Bill Collector, Tony Bro, COLA G🔫N TITLES🏆 EXPENSIVE PAIN +701 others		#MidnightMadness: #URLBanned Recap			No	Speaker	2022-02-06 04:43:54+00:00
2022-02-06 04:43:54+00:00	2022-02-06 04:43:58+00:00	Play	00:00:04	com.atebits.Tweetie2	Bill Collector, Tony Bro, COLA G🔫N TITLES🏆 EXPENSIVE PAIN +687 others		#MidnightMadness: #URLBanned Recap			No	Speaker	2022-02-06 04:43:58+00:00
2022-02-06 04:43:58+00:00	2022-02-06 04:43:58+00:00	Play	00:00:00	com.atebits.Tweetie2						No	Speaker	2022-02-06 04:43:58+00:00
2022-02-06 04:43:58+00:00	2022-02-06 04:43:58+00:00	Pause	00:00:00	com.atebits.Tweetie2						No	Speaker	2022-02-06 04:43:58+00:00
2022-02-06 04:43:58+00:00	2022-02-06 04:43:59+00:00	Play	00:00:01	com.atebits.Tweetie2						No	Speaker	2022-02-06 04:43:59+00:00
2022-02-06 04:43:59+00:00	2022-02-06 04:44:05+00:00	Play	00:00:06	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +82 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:44:05+00:00
2022-02-06 04:44:05+00:00	2022-02-06 04:44:13+00:00	Play	00:00:08	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +81 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:44:13+00:00
2022-02-06 04:44:13+00:00	2022-02-06 04:44:20+00:00	Play	00:00:07	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +80 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:44:20+00:00
