Property	Property Value
LastMotionAutoPlayVideoValue	True
acknowledgedPersonalizedAdsVersion	1
qrCodeBadgingEnabled	False
AppStoreKitInternal_CachedScriptTags_1_app	21.3.22-be780575-a948-446e-82c2-bd21e153a5ef
LowPowerModeSetLastAutoPlayVideoValue	False
mostRecentTabIdentifier	search
AutoPlayVideoSetting	on
LastLowPowerModeValue	False
userUnmutedFullScreenVideosForCurrentSession	False
acknowledgedLocationPrivacyVersion	1
lastBootstrapDate	2022-02-04 00:49:51.572732+00:00
UserSetAutoPlayVideoSetting	False
lastBootstrapTimeZone	America/New_York
MotionAutoPlayVideoSetLastAutoPlayVideoValue	False
