Property	Property Value
CAMUserPreferenceSquareModeLastCapturedEffectFilterType	0
CAMUserPreferenceCaptureEncodingBehaviorSource	1
CAMUserPreferenceDesiredHDRMode	2
CAMUserPreferenceDesiredPhotoModeEffectFilterType	0
CAMUserPreferenceCaptureMode	0
CAMUserPreferenceDidMigrate	True
CAMUserPreferenceDesiredFlashMode	2
CAMUserPreferencePreviewViewAspectMode	0
CAMUserPreferenceCaptureDevice	0
CAMUserPreferenceTimerDuration	0
CAMUserPreferenceDesiredIrisMode	0
CAMUserPreferenceSquareModeEffectFilterType	0
CAMUserPreferenceTorchMode	0
CAMUserPreferenceLastCoreAnalyticsPublishDate	2022-02-11 05:01:41.678964
CAMUserPreferenceForcedLivePhotoOnTenTwo	True
CAMUserPreferencePortraitModeEffectFilterType	16
CAMUserPreferencePreviewAspectModeForPhotoModes	0
CAMUserPreferencePortraitModeRearDevice	0
CAMUserPreferencePhotoModeLastCapturedEffectFilterType	0
CAMUserPreferenceResetTimeoutDate	2022-02-11 05:02:12.840714
CAMUserPreferenceCaptureEncodingBehavior	0
CAMUserPreferenceFlashAndHDRConflictingControl	0
CAMUserPreferencePortraitModeLastCapturedEffectFilterType	16
