zGenAlbum-Creation Date	zGenAlbum-Start Date	zGenAlbum-End Date	zGenAlbum-Album Kind	zGenAlbum-Title	zGenAlbum-Import Session ID	zGenAlbum-Imported by Bundle Identifier	zGenAlbum-Cached Photos Count	zGenAlbum-Cached Videos Count	zGenAlbum-Cached Count	zGenAlbum-Trashed State	zGenAlbum-Trash Date	zGenAlbum-UUID	zGenAlbum-Cloud GUID
2022-01-06 22:41:36			3999-Parent_Root_for_Generic_Album-3999				0	0	0	zGenAlbum Not In Trash-0		A7223F76-636B-496D-B09C-4CF13DEEECF3	----Root-Folder----
2022-01-06 22:41:36			3998-Project Root Folder-3998				0	0	0	zGenAlbum Not In Trash-0		4E71485C-50C7-4984-89D3-53FCBADAC227	----Project-Root-Folder----
2022-01-06 22:41:36			Unknown-New-Value!: 1600				0	0	0	zGenAlbum Not In Trash-0		79A83457-3BCF-4E2D-BFEC-89D31C896AEE	
2022-01-06 22:41:36			Unknown-New-Value!: 1605				0	0	0	zGenAlbum Not In Trash-0		C34ED3FA-6708-47E5-AC50-D1A3F614A4FC	
2022-01-06 22:41:36			Unknown-New-Value!: 1607				0	0	0	zGenAlbum Not In Trash-0		AC95AB1A-8DF3-4D1B-95D4-E5691DD5C495	
2022-01-06 22:41:36			Unknown-New-Value!: 1608				0	0	0	zGenAlbum Not In Trash-0		2BB677BD-7BEA-4C5C-9205-28DD44BED87C	
2022-01-06 22:41:36			Unknown-New-Value!: 1606				0	0	0	zGenAlbum Not In Trash-0		EC609B68-668C-4FC1-B2C8-65D3FC2386A5	
2022-01-06 22:41:36			Unknown-New-Value!: 1609				0	0	0	zGenAlbum Not In Trash-0		3EC1B420-BC1A-4635-8413-6AD2EB2A02E9	
2022-01-06 22:41:36			Unknown-New-Value!: 1615				0	0	0	zGenAlbum Not In Trash-0		27940DC5-88C8-4A9E-A49F-69BA647A8BD5	
2022-01-06 22:41:36			Unknown-New-Value!: 1610				0	0	0	zGenAlbum Not In Trash-0		B1001797-DF49-4D91-A85F-CC25BF4BF820	
2022-01-06 22:41:36			Unknown-New-Value!: 1617				0	0	0	zGenAlbum Not In Trash-0		62B2D927-ACE7-4148-B2F6-A96D8195E684	
2022-01-06 22:41:36			Unknown-New-Value!: 1618				0	0	0	zGenAlbum Not In Trash-0		C5EA2566-0640-41CB-87F5-40722EF9F16F	
2022-01-06 22:41:36			Unknown-New-Value!: 1616				0	0	0	zGenAlbum Not In Trash-0		615EC177-280E-47D9-AF4D-BD3C7E34E493	
2022-01-06 22:41:36			Unknown-New-Value!: 1613				0	0	0	zGenAlbum Not In Trash-0		727D25AD-E192-45A2-9C2E-E27067424942	
2022-01-06 22:41:36			Unknown-New-Value!: 4004				0	0	0	zGenAlbum Not In Trash-0		12213D56-4B03-4F64-81D4-395FB9D9410A	
2022-01-06 22:41:36			Unknown-New-Value!: 4005				0	0	0	zGenAlbum Not In Trash-0		3D428EEC-9BC7-439A-9E97-E258A06AB01E	
2022-01-06 22:41:36			Unknown-New-Value!: 4006				0	0	0	zGenAlbum Not In Trash-0		77855BDE-87EB-40E1-AA49-401931F3CB93	
2022-01-06 22:41:36			Unknown-New-Value!: 1620				0	0	0	zGenAlbum Not In Trash-0		02D7DC51-AFAD-413B-9C14-4BAD92FEB9C9	
2022-01-06 22:41:36			Unknown-New-Value!: 1621				0	0	0	zGenAlbum Not In Trash-0		FBE684A8-0C51-4211-9073-5844B3E8DAF9	
2022-01-06 22:41:36			Unknown-New-Value!: 1614				0	0	0	zGenAlbum Not In Trash-0		8DD08766-FF23-4558-8638-F7F625AFDB94	
2022-01-06 22:41:36			Unknown-New-Value!: 1611				0	0	0	zGenAlbum Not In Trash-0		3719CCF2-ECBD-477C-B9E4-D5FA81298E46	
2022-01-06 22:41:36			Unknown-New-Value!: 4001				0	0	0	zGenAlbum Not In Trash-0		00AA75B2-8204-4D1C-846F-41C02792429D	
2022-01-06 22:41:36			Unknown-New-Value!: 4003				0	0	0	zGenAlbum Not In Trash-0		2B477D17-6626-4093-97C8-E3E5B64D2097	
2022-01-06 22:41:36			Unknown-New-Value!: 4002				0	0	0	zGenAlbum Not In Trash-0		43FA56BD-8793-4F20-AA2E-915762D947DD	
2022-01-06 22:41:36			Unknown-New-Value!: 1602				0	0	0	zGenAlbum Not In Trash-0		13081A7E-2A3A-4FE9-8E20-939629CE4C01	
2022-01-06 22:41:36			Unknown-New-Value!: 1552				0	0	0	zGenAlbum Not In Trash-0		3401CED8-78E6-49BC-97C0-8A05CEF6D804	
